AGS;Stadtteil_Nr;Stadtteil;Stichtag;Quelle;Fam_Stand_ledig (ab 18J);Fam_Stand_Verheiratet_Lebenspartnerschaft (ab 18J);Fam_Stand_Verwitwet_LP-gestorben (ab 18J);Fam_Stand_Geschieden_LP aufgehoben (ab 18J);Fam_Stand_unbekannt (ab 18J)
8335043;50;Allmannsdorf;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;1632;2081;360;382;0
8335043;60;Staad;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;491;792;126;127;0
8335043;70;Fuerstenberg;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;4094;4287;713;969;0
8335043;80;Wollmatingen;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;1661;2623;323;465;0
8335043;90;Industriegebiet;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;279;366;27;92;0
8335043;100;Egg;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;194;332;22;34;0
8335043;110;Litzelstetten;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;965;1784;232;292;0
8335043;120;Dingelsdorf;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;548;1009;100;123;0
8335043;130;Dettingen;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;695;1510;179;174;0
8335043;140;Wallhausen;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;339;483;70;73;0
8335043;10;Altstadt;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;5154;3613;605;959;3
8335043;20;Paradies;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;2420;1845;401;431;0
8335043;30;Petershausen-West;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;5715;4220;656;1133;2
8335043;35;Petershausen-Ost;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;1996;2734;622;531;0
8335043;40;Koenigsbau;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;2180;1835;267;383;2
8335043;50;Allmannsdorf;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;1636;2114;352;381;1
8335043;60;Staad;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;466;774;130;130;0
8335043;70;Fuerstenberg;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;3997;4389;692;989;1
8335043;80;Wollmatingen;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;1576;2573;322;475;2
8335043;90;Industriegebiet;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;271;399;24;96;0
8335043;100;Egg;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;192;304;23;36;0
8335043;110;Litzelstetten;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;969;1758;236;291;0
8335043;120;Dingelsdorf;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;530;1017;97;118;0
8335043;130;Dettingen;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;641;1552;179;167;0
8335043;140;Wallhausen;31.12.2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;337;484;76;76;0
8335043;10;Altstadt;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;5071;3593;614;951;0
8335043;20;Paradies;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;2606;1859;405;429;0
8335043;30;Petershausen-West;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;5544;4142;668;1138;1
8335043;35;Petershausen-Ost;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;1924;2734;640;511;0
8335043;40;Koenigsbau;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;1856;1851;253;374;0
8335043;50;Allmannsdorf;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;1605;2145;339;371;0
8335043;60;Staad;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;473;796;125;129;0
8335043;70;Fuerstenberg;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;3886;4464;691;972;0
8335043;80;Wollmatingen;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;1505;2578;329;452;0
8335043;90;Industriegebiet;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;265;380;24;94;0
8335043;100;Egg;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;183;276;23;33;0
8335043;110;Litzelstetten;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;988;1773;229;290;0
8335043;120;Dingelsdorf;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;515;1016;92;118;0
8335043;130;Dettingen;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;673;1547;169;171;0
8335043;140;Wallhausen;31.12.2010;Stadt Konstanz - Eigene Einwohnerfortschreibung;311;485;76;77;0
